,users,text,favorite_count,retweet_count,created_at
71,VancityReynolds,"Thank you @peopleschoice for the 2022 Icon Award!
If you saw my speech, and want to work in the same business as me but didn’t think there was room for you at the table, check out our organizations, @groupeffort &amp; @LadderOrg. These non-profits are awesome and here to help. https://t.co/5ZF9pbrwKP",15551,761,2022-12-07 13:53:34+00:00
72,VancityReynolds,We built this fire out of my hair-care routine from the 90s https://t.co/gFtphSmlXI,4676,220,2022-12-06 16:02:09+00:00
73,VancityReynolds,@tlam ⚔️❤️⚔️,1978,25,2022-12-02 23:25:06+00:00
74,VancityReynolds,It happened. #Spirited https://t.co/xpjIpxx6Ah,8870,343,2022-11-30 11:45:36+00:00
75,VancityReynolds,@DaveSFoley @AppleTVPlus Thanks Dave!!!! Good Afternoon! 🎄 ❤️🎄,212,4,2022-11-29 16:56:59+00:00
76,VancityReynolds,"@MissMinutesTVA @Deadpool Hello, Miss Minutes.",40233,2409,2022-11-29 01:00:31+00:00
77,VancityReynolds,"So many people are loving #Spirited that @AppleTVPlus decided to have a #CyberMonday offer. Unfortunately for me, the offer is me. https://t.co/RqwgctCH1C",5617,483,2022-11-28 18:55:07+00:00
78,VancityReynolds,@NeilDance @CanadaSoccerEN We’re Canadian. We don’t drink the blood of our enemies. We politely sip. #FIFAWorldCup,332,6,2022-11-27 16:25:45+00:00
79,VancityReynolds,"LFG, @CanadaSoccerEN We’re all watching. We love you. 🇨🇦 #FIFAWorldCup https://t.co/7dP6l8lwe5",15475,1091,2022-11-27 14:40:18+00:00
80,VancityReynolds,Thank you for making the journey to Y Cae Ras! 🇨🇦🏴󠁧󠁢󠁷󠁬󠁳󠁿⚔️ https://t.co/9lZ813vXS6,4543,149,2022-11-27 11:25:46+00:00
81,VancityReynolds,"@EvGuernseyTed @jj_pavlick @WrexhamUSA @RMcElhenney @Wrexham_AFC @PenderynWhisky @WXM_Lager @MaximumEffort @AviationGin @Mintmobile @PlayStation Wish it was this easy. But more than anything, I wish I had an allowance. 😂 

Everything sold out so fast. We weren’t expecting such a rush. Should have a lot more stock by early December.",121,5,2022-11-26 17:45:20+00:00
82,VancityReynolds,@JayNew3k @FOXSoccer Bro. Don’t.,57,1,2022-11-25 19:18:47+00:00
83,VancityReynolds,"@ot8minho Hi, I guess.",953,75,2022-11-24 01:13:22+00:00
84,VancityReynolds,I always thought the gag was from The General. Looked it up. And I guess it’s Steamboat Bill Jr.,1487,50,2022-11-24 01:11:16+00:00
85,VancityReynolds,"Plus, I love the old Buster Keaton stunt from Steamboat Bill Jr.",2240,66,2022-11-24 01:02:56+00:00
86,VancityReynolds,"Actually the collapsed wall was for a specific reason. Will and I learned all this tap dancing.  For months we trained. And suddenly, we’re shooting on a damn cobblestone street. So I pitched the idea of a wall collapsing, which would give us a surface we could tap dance on. https://t.co/exLwXCKjLr",4127,160,2022-11-24 01:02:55+00:00
87,VancityReynolds,@KLFredheim @AviationGin Amazing!!!,25,0,2022-11-24 00:20:38+00:00
88,VancityReynolds,So proud of this team. They left it all on the field. Beautiful work out there. #WeCAN 🇨🇦 https://t.co/uFGZZqonmg,17669,746,2022-11-23 21:07:06+00:00
89,VancityReynolds,"Let’s go, gents. #WeCAN 🇨🇦🇨🇦🇨🇦🇨🇦 https://t.co/pJtHRgkDbM",7630,354,2022-11-23 19:00:30+00:00
90,VancityReynolds,You’ve got to be willing to be bad at something if you want to be… slightly less bad at it? Here’s Will and I proving that point! We’re so humbled by all the love for #Spirited on @appletvplus. https://t.co/7EGojrCP8m,24613,1074,2022-11-23 14:46:55+00:00
91,VancityReynolds,@LlinGriff @RMcElhenney @MaxineERHughes @FAWales @GarethBale11 Please don’t encourage him.,2157,20,2022-11-22 13:20:02+00:00
92,VancityReynolds,@RMcElhenney Yup.,1042,11,2022-11-21 03:13:13+00:00
93,VancityReynolds,@weareMNTN @WalkingDead_AMC I heard that.,799,14,2022-11-21 03:03:18+00:00
94,VancityReynolds,"Maximum Effort brought a few characters back to life for #TWD tonight. It was a stupid amount of work and fun, especially for commercials that will run just once. Also... Worth it. #WalkingDeadvertising https://t.co/g77iqQhq6e",6769,712,2022-11-21 02:59:52+00:00
95,VancityReynolds,@ring @WalkingDead_AMC @andjwest @MaximumEffort Gareth looks pretty well-preserved tbh,360,10,2022-11-21 02:44:03+00:00
96,VancityReynolds,@autodesk 🧟‍♂️🧟‍♀️❤️,397,15,2022-11-21 02:32:08+00:00
